"","PERMNO","year","TICKER","CUSIO","CAP","RET","X4","X5"
"2",10000,1986,"OMFGA","68391610",1981.56609,-0.882142847534233,1981.56609,-0.882142847534233
"3",10000,1987,"OMFGA","68391610",851.59375,-0.575757347902162,851.59375,-0.575757347902162
"4",10001,1986,"GFGC","36720410",6937,0.217369077869878,6937,0.217369077869878
"5",10001,1987,"GFGC","36720410",5828,-0.101275120033897,5828,-0.101275120033897
"6",10001,1988,"GFGC","36720410",6362.25,0.163160192505212,6362.25,0.163160192505212
"7",10001,1989,"GFGC","36720410",10347.75,0.687925758196561,10347.75,0.687925758196561
"8",10001,1990,"GFGC","36720410",10013,-0.00872116396250855,10013,-0.00872116396250855
"9",10001,1991,"GFGC","36720410",15587.5,0.607470828774737,15587.5,0.607470828774737
"10",10001,1992,"GFGC","36720410",15120,0.0126212448615792,15120,0.0126212448615792
"11",10001,1993,"EWST","36720410",20047.125,0.367996674792745,20047.125,0.367996674792745
"12",10001,1994,"EWST","36720410",17792,-0.0909283653187304,17792,-0.0909283653187304
"13",10001,1995,"EWST","36720410",21384.375,0.228628312761812,21384.375,0.228628312761812
"14",10001,1996,"EWST","36720410",19150.625,-0.0904477753414937,19150.625,-0.0904477753414937
"15",10001,1997,"EWST","36720410",21555,0.164265312070448,21555,0.164265312070448
"16",10001,1998,"EWST","36720410",23302.125,0.124245382179036,23302.125,0.124245382179036
"17",10001,1999,"EWST","36720410",20825,-0.0662204039996153,20825,-0.0662204039996153
"18",10001,2000,"EWST","36720410",24355.5,0.21472490005584,24355.5,0.21472490005584
"19",10001,2001,"EWST","36720410",29380.7,0.229015048379317,29380.7,0.229015048379317
"20",10001,2002,"EWST","36720410",19046.441,-0.318478502115107,19046.441,-0.318478502115107
"21",10001,2003,"EWST","36720410",15446.2,-0.176303537283407,15446.2,-0.176303537283407
"22",10001,2004,"EWST","36720410",17933.1,0.159663200958041,17933.1,0.159663200958041
"23",10001,2005,"EWST","36720410",28421,0.411362899281196,28421,0.411362899281196
